,Country,Days,CumConfirmed,CumConfirmed_per_million,CumDeaths,CumRecovered,smoothed_cumulative_testing_count,SmoothedCumTesting_per_thousand,Population,Pop_Density,Land_Area_Kmsq,HealthCapacityScore,RecoveryRate,FatalityRate,Active,Population Interval,Health Capacity Score Interval
66,Ghana,205,0.06087772239447624,0.33518893962625823,0.014274385408406027,0.07359336279204758,0.04127352342790548,0.11226923448191452,0.21565502673299275,0.05126257831782798,0.13893925633770413,0.2349869451697128,9.9,0.3448275862068966,0.0006800916457272004,10-50m, less than 10
67,Greece,223,0.02987588640995707,0.4907086755401131,0.021551523067593413,0.002137441452431931,0.11954581809758927,0.9694177560197856,0.07218228514632506,0.029998101385988227,0.07870796304226407,6.357702349869453,0.6,0.6896551724137931,0.04785413070100334,10-50m,35 to 50
68,Grenada,195,2.9800736726039233e-05,0.0486968504156093,0.0,3.8083589352907454e-05,0.0,0.0,0.0005460470680941961,0.12492880197455858,0.0002069992744034284,3.5639686684073113,9.6,0.0,0.0,< 1m,20 to 35
69,Guatemala,209,0.12839193928942086,1.2277769087420423,0.16000373186546624,0.14029994317611105,0.0,0.0,0.12423930497473913,0.06265426238845642,0.06543314231798521,0.39164490861618806,8.9,1.0344827586206897,0.016319947538361,10-50m, less than 10
70,Guinea,200,0.014493523522498908,0.18855574360636423,0.0032653822829686987,0.016426721540887416,0.0,0.0,0.09100921572888608,0.01936586292006835,0.15004027937208267,0.026109660574412524,9.3,0.3448275862068966,0.0017227487052361204,10-50m, less than 10
71,Guinea-Bissau,194,0.0030927981984806806,0.26895477145361446,0.001912581051453095,0.0028277065094533785,0.0,0.0,0.013437668630254248,0.025821150560091134,0.017169948663569332,0.2088772845953003,7.5,0.6896551724137931,0.001272356886873736,1-10m, less than 10
72,Guyana,207,0.00464761924505664,1.0127451289324072,0.0049447217427811725,0.003946411946695035,0.0,0.0,0.005229113528554077,0.0007594456047085627,0.12019941052224331,0.39164490861618806,6.8999999999999995,1.0344827586206897,0.002240699296352862,< 1m, less than 10
73,Haiti,200,0.011539363534004584,0.1728577099339792,0.010775761533796707,0.011396514113857555,0.0,0.0,0.07898754402731162,0.15644579456996394,0.01682800295954007,0.14360313315926898,8.100000000000001,1.0344827586206897,0.003364426883167011,10-50m, less than 10
75,Honduras,210,0.11072398946349603,1.91557983020716,0.11816019032513878,0.05234906719801737,0.0,0.0,0.068580182332906,0.033035883804822475,0.06832136228237523,0.3002610966057441,3.9000000000000004,1.0344827586206897,0.1124493252905365,1-10m, less than 10
76,Hungary,217,0.051645972430431474,0.9157796326068304,0.04646172505481177,0.01864985106936339,0.06939151391327818,0.6071346625949624,0.06688312318357252,0.03987089424719954,0.055278576142973365,5.339425587467363,2.9,0.6896551724137931,0.061055114897204825,1-10m,35 to 50
77,Iceland,223,0.004565991140111403,2.2941801751161988,0.0004664831832812427,0.003965453741371488,0.012512942545984396,3.0993260729507845,0.00213516409545709,0.0003797228023542813,0.06121377657719556,6.6449086161879904,7.1,0.0,0.0022879904372809126,< 1m,50 to 65
78,India,224,9.379959393257,1.164425460001829,5.15865093063395,10.0,7.337005337377281,0.44937606519598144,9.58785653073235,0.17543193468767798,1.8154807246733182,3.7728459530026113,8.7,0.6896551724137931,1.8620886740419829,>1000m,20 to 35
79,Indonesia,219,0.44133595407058623,0.2759259867872244,0.5610393245323506,0.4178023642609634,0.19620553257958057,0.060630056723183945,1.9001710110724779,0.05657869755078792,1.106175423397476,3.6422976501305486,7.7,1.3793103448275863,0.14704842477713487,100-500m,20 to 35
80,Iran,236,0.6587090061713439,1.3436176806505977,1.3560666137985724,0.6535143932958919,0.36044635863242247,0.3627182269310131,0.5833364161615411,0.01898614011771407,0.9944202399127697,4.112271540469974,8.100000000000001,2.0689655172413794,0.15195769559728486,50-100m,20 to 35
81,Iraq,228,0.5303961036184572,2.259651130415052,0.46508373373139894,0.5461948384993986,0.20855019728102597,0.43824118632411857,0.27922493957428013,0.0345547750142396,0.2652027075505092,0.6657963446475196,8.4,0.6896551724137931,0.12426085072709003,10-50m, less than 10
82,Ireland,221,0.056166614623351076,1.9491899438909799,0.08522647758548303,0.037074374235055406,0.11065703589465412,1.8941673180712635,0.03407135134758072,0.026580596164799696,0.042064817151556876,8.18537859007833,5.4,1.3793103448275863,0.040893325148212686,1-10m,50 to 65
