,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
99,Liechtenstein,1.9,0.0,2.8,2.6,0.9,0.0,0.0,0.0,0.0,1.7,2.6,1.7,0.8,1.7,4.0,4.9,3.1,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.9,Very Low
100,Lithuania,2.4,0.6,3.3,5.2,1.0,1.0,0.6,2.4,0.5,1.0,2.0,0.5,0.8,0.6000000000000001,7.6,6.5,3.9,10,1.7,2.5,3.5,4,2.9,1.4,1.6333333333333335,3.5,0.1,0.9,1.8,0,2.8,Low
101,Luxembourg,3.8,0.2,5.6,4.2,1.0,0.5,0.0,1.6,0.5,1.4,3.4,0.3,1.1,0.3,6.4,6.0,4.3,7.6,1.9,1.4,1.7,2,1.4,1.1,0.9666666666666668,0,0.1,2.45,2.4,2.5,3.1,Low
102,Madagascar,6.9,7.5,6.6,4.6,6.0,6.1,9.0,4.4,1.8,5.9,1.4,4,9.1,5.6,2.7,3.1,7.5,0,7.3,7.2,7.5,7.6,7.3,6.9,4.2,9.9,3.7,7.45,7.4,7.5,6.1,High
103,Malawi,6.6,7.5,6.2,4.8,6.1,7.1,8.6,6.6,4.5,4.9,5.0,6.3,4.5,3.5999999999999996,3.1,3.0,7.1,1.2,6.0,6.6,6.7,6.9,6.5,6.5,3.066666666666667,9.8,3.9,5.4,5.8,5,5.7,High
104,Malaysia,4.2,0.3,6.2,3.6,2.9,2.0,1.9,3.9,0.1,3.7,6.1,0.7,1.7,5.1,4.2,5.9,3.7,3.6,2.1,3.7,3.8,4.7,2.8,3.5,0,6.6,0.3,0.25,0.5,0,3.2,Low
105,Maldives,4.8,0.2,7.1,2.5,1.9,2.6,2.7,4.2,0.7,1.2,0.0,0.3,3.1,1.2,3.0,5.2,3.7,1.6,5.2,5.0,6.6,7.1,6.0,2.8,0,4.6,0.6,5.3,5.6,5,4.0,Medium
106,Mali,6.0,5.0,6.5,4.8,6.5,7.5,9.7,5.5,5.0,5.2,7.0,4.3,0.8,6.9,2.5,3.9,5.9,0,6.5,7.6,7.1,7.1,7.0,8.1,6.35,9.9,6.2,5.1,5.1,5.1,5.7,High
107,Malta,4.7,0.0,7.1,4.9,1.4,0.7,0.3,1.9,0.3,2.0,5.2,0.1,1.0,0.45,7.2,5.2,5.3,9.2,2.9,2.6,3.9,4.6,3.1,1,1.4500000000000002,0,0.1,3.25,4,2.5,4.1,Medium
108,Marshall Islands,4.7,1.8,6.1,4.8,4.8,5.4,4.0,5.4,8.2,4.2,0.0,6.2,5.0,4.3,4.7,3.6,5.8,4.7,7.0,7.6,8.1,8.1,8.1,6.9,4.7,7,6.9,6.3,5.1,7.5,5.4,High
