Country/Region,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_21,LOCC_22,LOCC_23,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
Egypt,3.0,0.6,4.2,4,3.4,3.6,4.4,3.9,1.5,3.1,6.6,0.2,0.0,3.7,4.6,5.8,6.0,3.2,4,5.5,6.4,6.5,6.2,4.4,0.8,8.4,0.4,2.15,1.8,2.5,3.6,Medium
El Salvador,3.8,0.9,5.3,4.2,3,4.4,5.2,4.3,2.9,1.3,0.0,1.2,2.8,1.1,5.2,6.7,6.7,3.6,4.7,5.5,6.3,6.6,5.9,4.5,2.1999999999999997,8.1,0.5,3.75,2.5,5,4.2,Medium
Equatorial Guinea,6.7,5.7,7.2,3.9,4.7,4.2,6.2,x,0.1,5.1,0.0,6.4,2.8,8.149999999999999,2.9,3.8,5.5,1.2,7.6,7.6,8.0,8.4,7.6,7.2,10,7.3,3.3,7.65,7.8,7.5,5.8,High
Eritrea,6.4,8.9,5.1,4.4,5.7,6.9,9.3,x,2.1,4.2,2.2,1.6,5.6,6.3,2.8,2.3,7.9,0.4,7.2,7.3,8.1,7.7,8.5,6.4,1.0999999999999999,10,5.3,7,6.5,7.5,5.9,High
Estonia,2.3,0.1,3.4,4.7,1,0.7,0.4,1.6,0.3,1.2,1.2,0.8,1.6,1.35,7.0,5.3,3.4,9.6,2.4,2.2,2.6,2.6,2.6,1.8,1.2,3.4,0.1,2.55,2.6,2.5,3,Low
Eswatini,4.9,5.8,4.5,5.1,4.9,5.6,6.5,7.2,2.2,4.0,2.1,4.9,5.8,2.4,5.3,3.7,6.1,5.6,5.8,6.2,6.5,6.6,6.3,5.8,1.7333333333333334,7.9,4.9,5.4,5.8,5,5.3,High
Ethiopia,7.6,9.7,6.5,4.7,6.4,6.7,9.4,5.2,2.8,6.1,8.2,3.1,5.6,6.05,2.5,3.6,6.3,0,5.8,6.8,6.3,6.3,6.2,7.3,4.85,9.9,4.5,4.6,4.2,5,5.9,High
Fiji,3.3,0.8,4.5,4.3,3.3,3.4,3.5,3.9,2.5,3.1,0.0,3.7,1.6,5.9,5.1,5.0,1.9,6.8,5,4.4,4.5,x,4.5,4.3,0.26666666666666666,9.1,0.4,5.6,3.7,7.5,4.1,Medium
Finland,2.3,0.1,3.4,4.8,1.1,0.2,0.0,0.6,0.1,2.0,4.7,0.1,1.2,1.4500000000000002,7.1,7.5,2.4,9.2,0.8,1.2,1.2,1.4,1.0,1.1,1.7666666666666666,0,0,0.3,0.6,0,2.1,Low
France,2.8,0.1,4.2,4.9,1.8,0.5,0.2,1.3,0.2,2.9,7.1,0.3,0.8,0.8,7.0,7.5,5.3,7.6,2,1.8,2.6,3.1,2.0,0.9,1.6333333333333335,0,0.1,2.15,1.8,2.5,3,Low
